Filename,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Parties-Answer,Agreement Date-Answer,Effective Date-Answer,Expiration Date-Answer,Renewal Term-Answer,Notice Period To Terminate Renewal- Answer
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,"['VerticalNet, Inc.', 'VerticalNet', 'Neoforma', 'Neoforma.com, Inc.']","['November 19, 1999']","['November 19, 1999']","['INITIAL TERM shall mean the Effective Date through the day prior to the second anniversary of the Effective Date, unless earlier terminated pursuant to Section 11.']","['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either Party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement (a ""Termination Notice"").']","['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either Party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement (a ""Termination Notice"").']","VerticalNet, Inc. (""VerticalNet""); Neoforma.com, Inc. (""Neoforma"")",11/19/99,11/19/99,11/19/01,successive 1 year,30 days
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,"['PaperExchange', 'PaperExchange.com, LLC', 'VerticalNet, Inc.', 'VerticalNet']",[],"['September 30, 1999']","['Initial Term shall mean the Effective Date through the day prior to the fourth anniversary of the Effective Date, unless earlier terminated pursuant to Section 8']","['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement.']","['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement.']","VerticalNet, Inc. (""""VerticalNet""); PaperExchange.com, LLC (""PaperExchange"")",,9/30/99,9/30/03,successive 1 year,30 days
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,"['NETTAXI', '""SpinRecords.com""  or  ""Client""', 'Solutions  Media,  Inc.,  dba SpinRecords.com', 'NETTAXI Online Communities, Inc.']","['Nov  5,  1999']","['Nov  5,  1999']","['This  Agreement  shall  be effective upon the              ------------------- Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.']","['This  Agreement  shall  be effective upon the<omitted>Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.']",[],"NETTAXI Online Communities, Inc. (""NETTAXI""); Solutions Media, Inc.(dba SpinRecords.com, ""SpinRecords.com"" or ""Client"")",11/5/99,11/5/99,11/5/00,successive 1 year,60 days
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,"['PlanetCAD Inc. (formerly known as Spatial Technology Inc.)', '(""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,', 'PlanetCAD', 'Dassault Systemes', '(each a ""Party,"" together, the ""Parties"").']","['November 14, 2000']","['November 14, 2000']","['This Agreement shall be effective as of the Effective Date and shall continue in force for three years from the Launch Date (the ""Initial Term"") unless earlier']",['The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.'],['The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.'],"Dassault Systemes (""Dassault Systemes"") and/or certain affiliates of Dassault Systems; PlanetCAD Inc. (""PlanetCAD"")(""Party,"" together, the ""Parties"")",11/14/00,11/14/00,11/14/03,successive 1 year,6 months
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,"['The Boxlot Company', 'Boxlot', 'theglobe', 'theglobe.com, Inc.']","['March ___, 1999']","['March ___, 1999']","['""Launch Date"" means the first date on which the Service is made publicly available.<omitted>This Agreement will become effective on the Effective Date and will continue in effect for 2 years following the Launch Date.']",[],[],"theglobe.com, Inc. (""theglobe""); The Boxlot Company (""Boxlot"")",03/[]/1999,03/[]/1999,,,
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,"['MBE', 'iShip.com, Inc.', 'MAILBOXES ETC. USA, INC.', 'Mail                                                         ------- Boxes Etc. USA, Inc.', 'Company']","['April 27, 1999']","['April 27, 1999']",['The initial term of this Agreement shall          ----------------------- commence on the Effective Date and end on the fifth anniversary of the Effective Date.'],"['MBE shall have the right to elect by written notice to the Company at any time between two (2) and six (6) months prior to the end of such initial term or any subsequent Renewal Period (as defined below), to notify the Company that MBE elects to seek to extend such term for additional two (2)-year periods (each a ""Renewal Period"") In the event of such election, MBE and the Company shall have  -------------- a period of sixty (60) days in which to negotiate commercially reasonable Basic Fees, Bounty Fees and eBay Fees (and other applicable fees) (""Fee Schedule"")                                                               ------------ under which the Company would be willing to renew this Agreement for such Renewal Period.', 'If MBE notifies the Company of its intent to so renew prior to the end of such initial term or such Renewal Period, the term of this Agreement shall automatically be extended for the Renewal Period and, other than the Fee Schedule, all of the terms and conditions of this Agreement shall remain in full force and effect.']",[],"iShip.com, Inc. (""Company""); Mail Boxes Etc. USA, Inc. (""MBE"")",4/27/99,4/27/99,4/27/04,successive 2 years,
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,"['Chase Bank USA, N.A. (?Chase?)', 'you as an ""Affiliate""']","['April 6, 2007']",['The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party.'],['The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party.'],[],[],"Chase Bank USA, N.A., (""Chase""); You (""Affiliate"")",4/6/07,,perpetual,,
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,"['Digital Cinema Destinations Corp.', '""Network Affiliate"" and with  NCM, each a ""Party"" and collectively, the ""Parties""', 'NCM', 'National CineMedia, LLC']","['14th day of March, 2011']",['The Parties contemplate that the Effective Date will be on or about __________________________.'],"['Unless earlier terminated as provided below, the term of this Agreement shall begin on the Effective Date and shall  continue for a period of five (5) years from the Effective Date (the ""Initial Term"") after which this Agreement may be extended on mutual agreement  of the parties (a ""Renewal Term,"" and together with the Initial Term, the ""Term"").']",[],[],"National CineMedia, LLC (“NCM”); Digital Cinema Destinations Corp.; “Network Affiliate” and with NCM, ""Party"" and collectively, the ""Parties""",3/14/11,[]/[]/[],[]/[]/2016,,
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,"['LKPL', 'Axiometric', 'Link Plus Corporation', 'Axiometric, LLC']","['JULY 15, 2005']","['""Effective Date"" means July 15, 2005.']",['This Agreement will remain in force for perpetuity or until and unless          otherwise mutually agreed or amended in writing by both parties.'],[],[],"Link Plus Corporation (""LKPL""); Axiometric, LLC. (""Axiometric"")",7/15/05,7/15/05,perpetual,,
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,"['Web site owners (hereafter, ""Affiliates"")', 'element 5 GmbH, Vogelsanger Strasse 78, 50823 Cologne, Germany and its subsidiaries (together hereafter, ""element 5"")', 'Software Publishers', 'who wish to make use of the additional service provided by element 5 (hereafter, ""Affiliate Management""']",[],"[""The term of this Agreement will begin upon acceptance of Affiliate's Program application and will end when terminated by either party of this Agreement.""]","[""The term of this Agreement will begin upon acceptance of Affiliate's Program application and will end when terminated by either party of this Agreement."", 'This Agreement is entered into for an unlimited period of time.']",[],[],"Web site owners (hereafter, ""Affiliates""); Software Publishers; element 5 GmbH and its subsidiaries (together hereafter, ""element 5"") and who wish to make use of the additional service provided by element 5 (hereafter, ""AffiliateManagement"")",,,perpetual,,
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,"['National Credit Report.com, LLC', 'Equidata, Inc.', 'Marketing Affiliate', 'Equidata']",['1s t day of October 2008'],['1s t day of October 2008'],"['This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same  terms and agreements unless superceded by future agreements.']","['This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same  terms and agreements unless superceded by future agreements.']",[],"Equidata, Inc. (“Equidata”); National Credit Report.com, LLC (“Marketing Affiliate”)",10/1/08,10/1/08,10/1/09,Successive 1 year,
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,"['collectively,  Business Affiliate and UDC may be referred to collectively as the ""Parties"" and singularly as a (""Party"")', 'UNION DENTAL CORP.', 'Dr. George D. Green', 'Business Affiliate', 'UDC']","['January  28,  2005']","['October 15,  2004']",['This Agreement  shall become  effective on the Effective Date      and shall  continue in effect until  either  Party  informs the other Party      with thirty (30) day prior written notice of termination of this Agreement.'],[],[],"Dr. George D. Green (""Business Affiliate""); UNION DENTAL CORP. (""UDC"")(""parties"" and singularly as a ""Party"")",1/28/05,10/15/04,perpetual,,
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,"['Network', 'The TUBE Music Network, Inc.', 'Affiliate', 'Tribune Broadcasting Company']","['6t h day of March, 2006']","['6t h day of March, 2006']","['The ""Initial Term"" shall commence upon the Effective Date and shall expire on March 31, 2011.']","['If the Term is renewed as described in Section 2(b), Network and Affiliate will negotiate exclusively and in good faith concerning further renewal of this Agreement upon mutually-agreed terms and conditions; provided, that unless Network and Affiliate otherwise agree in writing, the exclusive negotiation period will end six (6) months before the expiration of the Term.', 'If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (""Renewal Term"").']","['If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (""Renewal Term"").']","The TUBE Music Network, Inc. (""Network""); Tribune Broadcasting Company (""Affiliate"")",3/6/06,3/6/06,3/31/11,"4 years, 6 months",6 months
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,"['Payment Data  Systems,  Inc.', 'AFFILIATE', 'NETWORK  1 FINANCIAL, INC.', 'NETWORK 1']","['________ day of ______________________, in the year ____________']",[],"['The  term  (""Term"")  of  this Agreement shall be for one hundred eighty  days  (180)  from  the  date set forth below unless Network 1 or Visa or MasterCard  or Harris Bank doesn\'t approve Affiliate\'s ISO application, in which case,  the  Term  will  be  3 years.']",['This Agreement will automatically renew for successive  one-year  terms  unless  terminated by either party by providing the other  with  30  days  written notice that this Agreement will not be renewed or Affiliate  enters  into  a  Processing  agreement  with  Network  1  and  an ISO Sponsorship  agreement  with  Harris  Bank  in  which  case  this Agreement will automatically  terminate  concurrent  with  the  execution  of  such agreements.'],['This Agreement will automatically renew for successive  one-year  terms  unless  terminated by either party by providing the other  with  30  days  written notice that this Agreement will not be renewed or Affiliate  enters  into  a  Processing  agreement  with  Network  1  and  an ISO Sponsorship  agreement  with  Harris  Bank  in  which  case  this Agreement will automatically  terminate  concurrent  with  the  execution  of  such agreements.'],"NETWORK  1 FINANCIAL, INC. (""NETWORK  1""); Payment Data  Systems,  Inc. (""AFFILIATE"")",,,,successive 1 year,30 days
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,"['Joseph Theismann', 'Bizzingo, Inc.', 'Theismann', 'Bizzingo']","['March 14, 2012']","['March 1, 2012']","['Unless sooner terminated under the provisions hereof, this Agreement shall commence on the Effective Date and continue for a period  of one (1) year (""Term""). provided however, that the Parties may extend the Term for an additional year period by entering into an written  addendum of the Agreement extending such term.']","['Unless sooner terminated under the provisions hereof, this Agreement shall commence on the Effective Date and continue for a period  of one (1) year (""Term""). provided however, that the Parties may extend the Term for an additional year period by entering into an written  addendum of the Agreement extending such term.']",[],"Bizzingo, Inc (""Bizzingo""); Joseph Theismann (""Theismann"")",3/14/12,3/1/12,3/1/13,1 year,
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,"['Berkshire', 'BERKSHIRE BANK', 'Auriemma', 'GENO AURIEMMA', '(Each or both of which shall  hereinafter be referred to as the ""PARTY"" or ""PARTIES,"" respectively).']",['5/17/12'],[],"['""CONTRACT PERIOD"" means that period of time commencing upon the full execution of this Agreement by both Parties and  terminating on May 31, 2016 unless sooner terminated under this Agreement.']",[],[],"Geno Auriemma (Auriemma); Berkshire Bank (Berkshire)(""Party"" or ""Parties"")",5/17/12,,5/31/16,,
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,"['NFLA-NC', 'National Football League Alumni, Inc.', 'Gridiron BioNutrients™', 'NFLA', 'National Football League Alumni - Northern California Chapter', 'Food For Athletes, Inc', '(collectively the ""Company"").']","['October 30, 2017']","['All terms of this Agreement will automatically commence on November 1st, 2017, and expire on November 2nd, 2020.']","['All terms of this Agreement will automatically commence on November 1st, 2017, and expire on November 2nd, 2020.']",[],[],"National Football League Alumni - Northern America Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./Gridiron BioNutrients™ (collectively the ""Company"")",10/30/17,11/1/17,11/2/20,,
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,"['Celebrity Speakers', 'Tigrent Learning UK Limited', 'CSA', 'Talent', 'Robbie Fowler', 'Company']",['____ day of ______________ 2013'],"['""Commencement Date"" means: 1st January 2013.']","['""Term"" means: 1.5t January 2013 to 315t December 2013 or until terminated under the provisions of this Agreement or the Primary Agreement.']",['The period of license granted shall be for the Term and shall extend for a period of twenty four (24) months or until terminated as per clause 8 herein.'],[],"Tigrent Learning UK Limited (""Company""); Celebrity Speakers (""CSA""); Robbie Fowler (""Talent"")",[]/[]/2013,1/1/13,12/31/13,24 months,
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,"['Ludmila Smolyansky', 'Lifeway', 'Individual', 'Lifeway Foods, Inc.']","['14th day of March, 2016']","['14th day of March, 2016']",[],[],[],"Lifeway Foods, Inc. (""Lifeway""); Ludmila Smolyansky (""Individual"")",3/14/16,3/14/16,,,
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,"['Andy North', 'Company', 'Golfers Incorporated', 'North']",['21s t day of February 2011'],"['February 21, 2011']","['""Contract Period"" shall mean that period of time from February 21, 2011 through December 31, 2012.']",[],[],"Golfers Incorporated (""Company""); Andy North (""North"")",2/21/11,2/21/11,12/31/12,,
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,"['""Celebrity', 'Healthcare Distribution Specialists LLC', 'HDS', 'Paul Silas']","['February 20, 2012']","['February 20, 2012']","['The term of this Agreement shall be for one (1) year commencing on the Effective Date and ending  on February 19, 2013 (""Term"").']",[],[],"Healthcare Distribution Specialists LLC (""HDS""); Paul Silas (""Celebrity"")",2/20/12,2/20/12,2/19/13,,
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,"['""Employer"")', 'Prudential Bank', 'Employee', 'Jeffrey Hanuscin']","['1st day of June, 2017']","['1st day of June, 2017<omitted>WHEREAS, it is now understood and agreed that this split-dollar agreement is to be effective as of the date first listed above;']",[],[],[],"Prudential Bank (""Employer""); Jeffrey Hanuscin (""Employee"")",6/1/17,6/1/17,,,
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf,['Thrivent Financial for Lutherans'],"['July 1, 2019']","['July 1, 2019']",[],[],[],Thrivent Financial for Lutherans,7/1/19,7/1/19,,,
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,"['Fund', 'Blockchain Administrator', 'ARCA CAPITAL MANAGEMENT, LLC', 'ARCA U.S. TREASURY FUND,']","['[___], 2020']",['This Agreement shall become effective as of the first date above written'],"['This Agreement shall continue in effect for two years from the date hereof, and thereafter shall continue automatically for successive annual periods, provided that such continuance is specifically approved at least annually by (A) the vote of the Board, or by the vote of a majority of the outstanding voting securities of the Fund and (B) the vote of a majority of the Fund\'s directors who are not parties to this Agreement or ""interested persons"" (as such term is defined in Section 2(a)(19) of the Investment Fund Act) of any such party, in accordance with the requirements of the Investment Fund Act.']","['This Agreement shall continue in effect for two years from the date hereof, and thereafter shall continue automatically for successive annual periods, provided that such continuance is specifically approved at least annually by (A) the vote of the Board, or by the vote of a majority of the outstanding voting securities of the Fund and (B) the vote of a majority of the Fund\'s directors who are not parties to this Agreement or ""interested persons"" (as such term is defined in Section 2(a)(19) of the Investment Fund Act) of any such party, in accordance with the requirements of the Investment Fund Act.']",[],"ARCA U.S. TREASURY FUND (""Fund""); ARCA CAPITAL MANAGEMENT, LLC (""Blockchain Administrator"")",[]/[]/2020,[]/[]/2020,[]/[]/2022,successive 1 year,
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,"['Xencor and Aimmune are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties"".', 'Xencor', 'Aimmune', 'Aimmune Therapeutics, Inc.', 'Xencor, Inc.']","['FEBRUARY 4, 2020']","['February 4, 2020']","['This Agreement shall become effective on the Effective Date and, unless earlier terminated pursuant to this ARTICLE 13, shall remain in effect on a Product-by-Product and country-by-country basis until the expiration of the Royalty Term applicable to such Product and country (the ""Term"").']",[],[],"Xencor, Inc. (""Xencor""); Aimmune Therapeutics, Inc. (""Aimmune"")(""Party"" and collectively as the ""Parties"")",2/4/20,2/4/20,perpetual,Perpetual,
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.pdf,"['CNS and WPD are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""', 'WPD', 'CNS Pharmaceuticals, Inc.', 'CNS', 'WPD Pharmaceuticals']","['March 20, 2020']","['March 20, 2020']","['The term of this Agreement will commence on the Effective Date and remain in full force and effect until the expiration of the Sublicense Agreement, unless earlier termination by pursuant to the terms of this Agreement (""Term"").']",[],[],"CNS Pharmaceuticals, Inc. (""CNS""); WPD Pharmaceuticals (""WPD"")(""Party"" and collectively as the ""Parties"")",3/20/20,3/20/20,,,
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf,"['InfinixSoft Global LLC', 'Developer', 'Clickstream Corporation', 'Client']","['March 20, 2020']","['March 20, 2020']","['This Agreement shall become effective as of the Effective Date and, unless otherwise terminated in accordance with the provisions of Section 4 of this Agreement, will continue until the expiration of the Warranty Period as defined in subsection 9(a) of this Agreement.']",[],[],"InfinixSoft Global LLC (""Developer""); Clickstream Corporation (""Client"")",3/20/20,3/20/20,,,
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf,"['Licensee', 'Coherus BioSciences, Inc.', 'Bioeq', 'Bioeq IP AG']","['Nov. 02, 2019']","['Nov. 02, 2019']","[""Except as otherwise specified in this Agreement, the Parties' respective rights and obligations under this Agreement shall commence on the Effective Date and shall remain in full force for ten (10) years after the First Commercial Sale of the first Licensed Product, and shall thereafter automatically renew for an unlimited period of time unless otherwise terminated in accordance with Section 15.2.""]","[""Except as otherwise specified in this Agreement, the Parties' respective rights and obligations under this Agreement shall commence on the Effective Date and shall remain in full force for ten (10) years after the First Commercial Sale of the first Licensed Product, and shall thereafter automatically renew for an unlimited period of time unless otherwise terminated in accordance with Section 15.2.""]",[],"Bioeq IP, AG (""Bioeq""); Coherus BioSciences, Inc. (""Licensee"")",11/2/19,11/2/19,,perpetual,
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.pdf,"['""El Pollo Loco"" or ""Franchisor""', 'an individual', 'Developer', 'EL POLLO LOCO, INC.']",[],"['This Agreement shall commence on the date specified in Exhibit ""B"".']","['Notwithstanding any provision to the contrary contained herein, unless earlier terminated by either party, this Agreement shall expire on ______, 20___, and all rights of Developer herein shall cease and all unapplied or unused Development Fees paid pursuant to Section 3 hereof shall be forfeited to Franchisor.', 'Unless terminated pursuant to Section 10 or 11 below, it shall expire upon the earlier of the date specified in Exhibit ""B"" or upon the opening of the last El Pollo Loco® Restaurant listed in the Development Schedule.']",[],[],"EL POLLO LOCO, INC. (""El Pollo Loco"" or ""Franchisor""); an individual (""Developer"")",,,[ ]/[ ]/20[ ],,
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,"['Emerald Health Nutraceuticals Inc.', 'EHS', 'EHN', 'Michael T. Murray, N.D', 'Dr. Murray', 'Emerald Health Sciences Inc.']",['1st day of September 2016'],['1st day of September 2016'],"['Dr. Murray\'s obligations set out herein shall be performed from the Effective Date until December 31, 2018 (the initial ""Services Term"").', 'Except as otherwise stated herein as pertaining only to a Services Term, this Agreement shall remain in effect for ten years, unless terminated in accordance with Sections 6.1 (a) or 6.2(b).']","[""The Services Term of this Agreement shall be automatically renewed for successive two-year terms thereafter unless written notice is given by either party to the other, indicating that party's intention not to renew the Services Term of this Agreement, at least ninety (90) days prior to the end of the initial Services Term or any renewed Services Term.""]","[""The Services Term of this Agreement shall be automatically renewed for successive two-year terms thereafter unless written notice is given by either party to the other, indicating that party's intention not to renew the Services Term of this Agreement, at least ninety (90) days prior to the end of the initial Services Term or any renewed Services Term.""]","Emerald Health Sciences Inc. (""EHS""); Emerald Health Nutraceuticals Inc. (""EHN""); Michael T. Murray, N.D. (""Dr. Murray"")",9/1/16,9/1/16,12/31/18,successive 2 years,90 days
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,"['Harpoon Therapeutics, Inc.', 'AbbVie Biotechnology Ltd', 'AbbVie', 'Harpoon']","['November 20, 2019']","['November 20, 2019']","['This Agreement shall commence on the Effective Date and, unless earlier terminated in accordance herewith, shall continue in force and effect until (a) the date of expiration of the last Royalty Term for the last Licensed Product, or (b) the expiration of the License Option Period and the failure of AbbVie to exercise the License Option (such period, the ""Term"").']",[],[],"Harpoon Therapeutics, Inc. (""Harpoon""); AbbVie Biotechnology Ltd (""AbbVie"")",11/20/19,11/20/19,,,
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,"['CC-Pharming', 'iBio Inc.', 'Beijing CC-Pharming Ltd.']","['August 08, 2018']","['The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.<omitted>August 08, 2018']","['The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.']",[],[],"iBio Inc.; Beijing CC-Pharming Ltd. (""CC-Pharming"")",8/8/18,8/8/18,,,
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,"['Developer', 'DSS', 'HotApp International Ltd.', 'Document Security Systems, Inc.']","['1s t day of March, 2018']","['1s t day of March, 2018']","['The initial term of this Agreement shall commence on the Effective Date, and shall continue thereafter for a period of twelve (12) months (the ""Initial Term"").']","['The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof']","['The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof.']","Document Security Systems, Inc. (""DSS""); HotApp International Ltd. (""Developer"")",3/1/18,3/1/18,3/1/19,successive 1 month,30 days
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,"['T&B Seminars, Inc.', 'LEA', 'Legacy Education Alliance Holdings, Inc.', 'T&B']",['12-23-2019'],['12-23-2019'],"['The Term shall commence upon the Effective Date and shall continue for an initial term of five (5) years.', 'The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below.']",['The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.'],['The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.'],"T&B Seminars, Inc. (""T&B""); Legacy Education Alliance Holdings, Inc. (""LEA"")",12/23/19,12/23/19,12/23/24,successive 5 years,90 days
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,"['LIQUIDMETAL TECHNOLOGIES, INC.', 'Eutectix', 'EUTECTIX, LLC', 'Liquidmetal']","[', 2020']","[', 2020']","['The initial term of this Agreement shall commence on the Effective Date and shall continue until the fifth (5t h) anniversary of the Effective Date (the ""Term""), unless the Agreement is sooner terminated in accordance with the terms of this Agreement.']","['Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.']","['Either Party may terminate this Agreement for any reason upon providing 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.', 'Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.']","LIQUIDMETAL TECHNOLOGIES, INC. (""Liquidmetal""); EUTECTIX, LLC (""Eutectix"")",[]/[]/2020,[]/[]/2020,[]/[]/2025,succesive 1 year,180 days
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,"['NLS-1 Pharma AG', 'Eurofarma Laboratórios S.A.', '""Licensee"" / ""Eurofarma""', '""Licensor"" / ""NLS""', '(Licensor and Licensee each a ʺPartyʺ collectively the ʺPartiesʺ)']",[],['Effective Date shall be the date of the last signature on the last page of this Agreement.'],"['This Agreement will come into effect on the Effective Date and shall continue in full force for ten (10) years from the Launch (the ""Initial Term""), or the date of expiry of the last valid patent of the Licensed Product, whichever comes later, subject to clauses 19.2, 19.3, 19.4 and 19.5 hereunder']",[],[],"NLS-1 Pharma AG (""Licensor"" or ""NLS""); Eurofarma Laboratorios S.A. (""Licensee"" or ""Eurofarma"")(""Party"" collectively the ""Parties"")",,,,,
