doc_idx,filename,category,snippet_text
119,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Agreement Date,['1st day of September 2016']
119,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Effective Date,['1st day of September 2016']
119,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Expiration Date,"['Dr. Murray\'s obligations set out herein shall be performed from the Effective Date until December 31, 2018 (the initial ""Services Term"").', 'Except as otherwise stated herein as pertaining only to a Services Term, this Agreement shall remain in effect for ten years, unless terminated in accordance with Sections 6.1 (a) or 6.2(b).']"
119,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Renewal Term,"[""The Services Term of this Agreement shall be automatically renewed for successive two-year terms thereafter unless written notice is given by either party to the other, indicating that party's intention not to renew the Services Term of this Agreement, at least ninety (90) days prior to the end of the initial Services Term or any renewed Services Term.""]"
119,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Notice Period To Terminate Renewal,"[""The Services Term of this Agreement shall be automatically renewed for successive two-year terms thereafter unless written notice is given by either party to the other, indicating that party's intention not to renew the Services Term of this Agreement, at least ninety (90) days prior to the end of the initial Services Term or any renewed Services Term.""]"
120,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,Parties,"['Harpoon Therapeutics, Inc.', 'AbbVie Biotechnology Ltd', 'AbbVie', 'Harpoon']"
120,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,Agreement Date,"['November 20, 2019']"
120,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,Effective Date,"['November 20, 2019']"
120,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,Expiration Date,"['This Agreement shall commence on the Effective Date and, unless earlier terminated in accordance herewith, shall continue in force and effect until (a) the date of expiration of the last Royalty Term for the last Licensed Product, or (b) the expiration of the License Option Period and the failure of AbbVie to exercise the License Option (such period, the ""Term"").']"
121,IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,Parties,"['CC-Pharming', 'iBio Inc.', 'Beijing CC-Pharming Ltd.']"
121,IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,Agreement Date,"['August 08, 2018']"
121,IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,Effective Date,"['The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.<omitted>August 08, 2018']"
121,IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,Expiration Date,"['The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.']"
122,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,Parties,"['Developer', 'DSS', 'HotApp International Ltd.', 'Document Security Systems, Inc.']"
122,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,Agreement Date,"['1s t day of March, 2018']"
122,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,Effective Date,"['1s t day of March, 2018']"
122,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,Expiration Date,"['The initial term of this Agreement shall commence on the Effective Date, and shall continue thereafter for a period of twelve (12) months (the ""Initial Term"").']"
122,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,Renewal Term,"['The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof']"
122,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,Notice Period To Terminate Renewal,"['The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof.']"
123,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,Parties,"['T&B Seminars, Inc.', 'LEA', 'Legacy Education Alliance Holdings, Inc.', 'T&B']"
123,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,Agreement Date,['12-23-2019']
123,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,Effective Date,['12-23-2019']
123,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,Expiration Date,"['The Term shall commence upon the Effective Date and shall continue for an initial term of five (5) years.', 'The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below.']"
123,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,Renewal Term,['The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.']
123,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,Notice Period To Terminate Renewal,['The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.']
124,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,Parties,"['LIQUIDMETAL TECHNOLOGIES, INC.', 'Eutectix', 'EUTECTIX, LLC', 'Liquidmetal']"
124,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,Agreement Date,"[', 2020']"
124,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,Effective Date,"[', 2020']"
124,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,Expiration Date,"['The initial term of this Agreement shall commence on the Effective Date and shall continue until the fifth (5t h) anniversary of the Effective Date (the ""Term""), unless the Agreement is sooner terminated in accordance with the terms of this Agreement.']"
124,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,Renewal Term,"['Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.']"
124,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,Notice Period To Terminate Renewal,"['Either Party may terminate this Agreement for any reason upon providing 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.', 'Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.']"
125,NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,Parties,"['NLS-1 Pharma AG', 'Eurofarma Laboratórios S.A.', '""Licensee"" / ""Eurofarma""', '""Licensor"" / ""NLS""', '(Licensor and Licensee each a ʺPartyʺ collectively the ʺPartiesʺ)']"
125,NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,Effective Date,['Effective Date shall be the date of the last signature on the last page of this Agreement.']
125,NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,Expiration Date,"['This Agreement will come into effect on the Effective Date and shall continue in full force for ten (10) years from the Launch (the ""Initial Term""), or the date of expiry of the last valid patent of the Licensed Product, whichever comes later, subject to clauses 19.2, 19.3, 19.4 and 19.5 hereunder']"
126,PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,Parties,"['SFJ', 'each, a ""Party"" and collectively, the ""Parties"").', 'PhaseBio Pharmaceuticals Inc.', 'PB', 'SFJ Pharmaceuticals X, Ltd.']"
126,PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,Agreement Date,"['January 9, 2020']"
126,PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,Effective Date,"['January 9, 2020']"
126,PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,Expiration Date,"['The term of this Agreement (the ""Term"") will commence on the Effective Date and will expire upon the earliest of (i) termination of this Agreement in accordance with Section 14.2, or (ii) the date of payment of the last Approval Payment due based on all applicable Regulatory Approvals which have been received.']"
127,RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,Parties,"['Revolution Medicines, Inc.', 'Sanofi and RevMed are referred to in this Agreement individually as a ""Party"" and collectively as the ""Parties.""', 'RevMed', 'Aventis, Inc.', 'Sanofi']"
127,RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,Agreement Date,"['June 8, 2018']"
127,RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,Effective Date,"['June 8, 2018']"
127,RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,Expiration Date,"['The term of this Agreement shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article XII, shall continue in full force and effect until the expiration of Sanofi\'s payment obligations under Article IX or the Profit/Loss Share Agreement, whichever is later (the ""Term"").']"
128,RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,Parties,"['Sekisui', 'Qualigen, Inc. and its Affiliates', 'Qualigen', 'Sekisui Diagnostics, LLC and its Affiliates']"
128,RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,Agreement Date,"['May 1, 2016']"
128,RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,Expiration Date,"['The initial term of this Agreement shall commence on the Effective Date and shall continue for a period of five (5) years unless earlier terminated pursuant to Section 14 hereof (the ""Term"").']"
128,RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,Renewal Term,['The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement.']
128,RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,Notice Period To Terminate Renewal,['The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement']
129,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,Parties,"['VAL', 'VGrab Asia Ltd.', 'Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie']"
129,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,Agreement Date,"['5th Day of March, 2019']"
129,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,Effective Date,['This Agreement shall commence on 5th March 2019']
129,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,Expiration Date,"['This Agreement commences on the date it is executed and shall continue until full performance by both parties, or until earlier terminated by one party under the terms of this Agreement.', 'This Agreement will be for the maximum period of six (6) months beginning for the commencement date, renewable in accordance with the terms hereof, unless earlier terminated pursuant to this Agreement.']"
130,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,Parties,"['Beijing SINA Internet Information Service Co., Ltd.', 'Beijing Yisheng Leju Information Services Co., Ltd.', 'Licensor', 'Licensee']"
130,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,Effective Date,"['""Effective Date"" means the Closing Date as set forth in the Share Purchase Agreement.']"
130,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,Expiration Date,"['The initial term of this Agreement (the ""Initial Term"") shall commence on the Effective Date and shall continue for a period of ten (10)  years thereafter.']"
131,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,Parties,"['WPT Enterprises, Inc.', 'Zynga US', '(""Zynga Ireland,"" and together with Zynga US and their respective Affiliates, ""Zynga"").', 'ZYNGA GAME IRELAND LIMITED', 'ZYNGA INC.', 'WPT']"
131,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,Agreement Date,"['February 1, 2018']"
131,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,Effective Date,"['February 1, 2018']"
131,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,Expiration Date,"['This Agreement will be in effect for three (3) years from the Effective Date (""Initial Term"") unless terminated earlier in accordance with this Agreement.']"
131,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,Renewal Term,"['This Agreement shall automatically extend for an additional two (2) years on the same terms herein (""Renewal Term"") provided WPT receives payments greater than twelve million U.S. dollars ($12,000,000) within the Initial Term.']"
132,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,Parties,"['Data Call Technologies, Inc.', 'Licensor', 'plan_b', 'PLAN_B MEDIA AG']"
132,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,Agreement Date,['03/24/06']
132,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,Effective Date,['Contract  start:  04-01-06']
132,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,Expiration Date,"['Unless  otherwise  stated  in  the  Appendix  the  term of this letter           Agreement  shall  continue  for  twenty-four  (24)  months  with  the           effective  date  unless  terminated sooner or extended pursuant to the           terms hereof (""Initial Term"")', 'Contract  end:  04-01-08']"
132,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,Renewal Term,['The Initial Term shall automatically be           extended  for  an additional period of half a year unless either party           provides  the  other party with written notification of termination of           the  letter  Agreement  at  least 60 days prior to end of such period.']
132,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,Notice Period To Terminate Renewal,['The Initial Term shall automatically be           extended  for  an additional period of half a year unless either party           provides  the  other party with written notification of termination of           the  letter  Agreement  at  least 60 days prior to end of such period.']
133,GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,Parties,"['MobileVision Communications Ltd.', 'Distributor', 'Global Music International, Inc. d/b/a Independent Music Network', 'IMNTV']"
133,GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,Agreement Date,['13/07/05']
133,GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,Effective Date,"['This Agreement is effective as of the last date signed below (""Effective Date"").<omitted>13/07/05']"
133,GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,Expiration Date,"['The initial term of this Agreement will begin on the Effective Date and end twelve (12) months after the Launch (the ""Term"").']"
133,GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,Renewal Term,"['IMNTV will extend the Agreement on the same terms and conditions for additional one-year terms, providing Distributor and IMNTV agree, predicated on satisfactory performance by both parties']"
134,IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,Parties,"['YOU ON DEMAND HOLDINGS, INC.', 'Licensor', 'Licensee', 'Beijing Sun Seven Stars Culture Development Limited']"
134,IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,Agreement Date,"['___________, 2015']"
134,IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,Effective Date,"['__________, 2015']"
134,IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,Expiration Date,"['The Term of this Agreement (the ""Term"") shall commence on the Effective Date listed above and continue for twenty (20) years, unless sooner terminated as provided in Section 7(b).']"
135,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,Parties,"['COMPANY', 'NCM', 'YGP, LLC,', '(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"").', 'New China Media LLC', 'TWK Holdings, LLC', 'TWK', '(NCM, YGP and TWK shall be individually and collectively referred to as ""CONTENT PROVIDER"")', 'YGP', 'Digicorp, Inc.', 'a/k/a New China Media Limited']"
135,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,Agreement Date,"['2nd day of June, 2008']"
135,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,Effective Date,"['2nd day of June, 2008']"
135,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,Expiration Date,"['This Agreement and the provisions hereof, except as otherwise provided, shall be in full force and effect commencing on the date of execution by both Parties and shall extend for an initial term of two (2) years.']"
135,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,Renewal Term,"['This Agreement shall be automatically renewed for additional extended terms each of two (2) years duration unless either party notifies the other in writing of its intention not to renew the Agreement, such notification to be provided at least ninety (90) days prior to the expiration of the then in-effect term.']"
135,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,Notice Period To Terminate Renewal,"['This Agreement shall be automatically renewed for additional extended terms each of two (2) years duration unless either party notifies the other in writing of its intention not to renew the Agreement, such notification to be provided at least ninety (90) days prior to the expiration of the then in-effect term.']"
136,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,Parties,"['Licensor: PACIFICAP ENTERTAINMENT', 'Licensee THE HENRY FILM AND ENTERTAINMENT CORPORATION']"
136,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,Agreement Date,"['3rd day of November, 2005']"
136,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,Expiration Date,"['This Agreement will become effective as of the last date of signature (Effective Date) and shall, unless sooner terminated as provided below or as otherwise agreed, remain effective for an initial term of 10 Years following the first date of public availability of the PACIFICAP ENTERTAINMENT Content within a THE HENRY FILM AND ENTERTAINMENT CORPORATION Property (the ""Initial Term"").']"
136,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,Renewal Term,"['After the Initial Term, this Agreement will be automatically renewed for successive additional 3~year periods (""Extension Terms""), unless otherwise terminated by either party by giving notice to the other party not less than sixty (60) days prior to the end of a Term.']"
136,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,Notice Period To Terminate Renewal,"['After the Initial Term, this Agreement will be automatically renewed for successive additional 3~year periods (""Extension Terms""), unless otherwise terminated by either party by giving notice to the other party not less than sixty (60) days prior to the end of a Term.']"
137,PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,Parties,"['Phoenix Satellite TV', 'Party B', 'Beijing Tianying Jiuzhou Network Technology Co., Ltd.', 'Party A', 'Phoenix Satellite Television Company Limited']"
137,PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,Agreement Date,"['November 24, 2009']"
137,PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,Effective Date,"['This Agreement shall become effective on the date on which it is signed and affixed with the corporate seals by the authorized representative of  each Party and have a term of five (5) years commencing as of the effective date hereof.<omitted>November 24, 2009']"
137,PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,Expiration Date,['This Agreement shall become effective on the date on which it is signed and affixed with the corporate seals by the authorized representative of  each Party and have a term of five (5) years commencing as of the effective date hereof.']
138,RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,Parties,"['World Book, Inc.', 'HSWI', 'World Book', 'HSW International, Inc.']"
138,RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,Agreement Date,"['September 17, 2008']"
138,RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,Effective Date,"['September 17, 2008']"
138,RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,Expiration Date,"['This Agreement shall commence on the Effective Date and, except as set forth in Subsection (ii), continue in full force and effect through the Delivery Period.']"
138,RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,Renewal Term,"['At the end of such [*] ([*]) year period, HSWI shall have the right to renew the Agreement under materially the same terms or shall have an option to purchase the Translated Content outright to the extent rights permit and to the extent the parties mutually agree to terms for such sale.']"
139,WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.pdf,Parties,"['Watchit Media', 'Oceanic Time Warner Cable']"
139,WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.pdf,Effective Date,"['Effective Dates: September 1, 2006, August 31, 2007']"
139,WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.pdf,Expiration Date,['This agreement will be in effect until the end of 2006 and will be evaluated at that time.']
140,XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,Parties,"['XFN', 'XINHUA FINANCIAL NETWORK LIMITED', 'CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY', 'CEIS']"
140,XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,Agreement Date,['15th day of December 2001']
140,XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,Effective Date,['EFFECTIVE DATE     means 18 May 2000;']
140,XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,Expiration Date,"['This Agreement shall take effect from the Effective Date and continue in      full force and effect for twenty (20) years thereafter, unless otherwise      terminated in accordance with Clause 8.']"
140,XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,Renewal Term,"['This Agreement may be renewed for an additional term of ten (10) years by      notice in writing given by XFN to CEIS at the expiry of the Term, for a      consideration to be mutually agreed.']"
141,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,Parties,"['Emdeon Corporation', 'WebMD, Inc.', 'Emdeon', 'WebMD']"
141,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,Agreement Date,"['October 1, 2005']"
141,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,Effective Date,"['October 1, 2005']"
141,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,Expiration Date,"['Expiration Date: August 31, 2006', 'This Agreement shall be effective as of the Effective Date and shall expire on the Expiration Date set forth above (the ""Initial Term""), unless earlier terminated in accordance with Section 3(b).']"
142,ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.pdf,Parties,"['ScanSource, Inc.', 'Zebra Technologies do Brasil - Comércio de Produtos de Informåtica Ltda.', 'ScanSource Brazil Distribuidora de Technologias, Ltda.', 'SCANSOURCE DE MEXICO S. DE R.L. DE C.V.', 'Zebra', 'ScanSource Mexico', '(Collectively ""Distributor\')', 'ScanSource', 'Zebra Technologies International, LLC', 'Xplore', '""Zebra"" and the ""Distributor"" are referred to collectively as \'Parties"" and individually as a ""Party"".', 'ScanSource Brazil', 'Zebra Brazil', 'Xplore Technologies Corporation of America', 'ScanSource Latin America', 'ScanSource Latin America, Inc.', 'collectively ""Zebra""']"
142,ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.pdf,Agreement Date,['4th day of February 2019']
142,ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.pdf,Effective Date,['4th day of February 2019']
143,ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf,Parties,"['ScanSource, Inc.', 'Cisco', 'Distributor', 'Cisco Systems, Inc.']"
143,ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf,Agreement Date,['8/4/10']
143,ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf,Expiration Date,"['The Term of the Agreement is hereby extended to January 20, 2012 unless sooner terminated as provided for in the Agreement.']"
144,PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,Parties,"['Distributor', 'Principal', 'Co-Diagnostics, Inc.', 'PreCheck Health Services, Inc.']"
144,PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,Agreement Date,"['19t h day of March, 2020']"
144,PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,Expiration Date,"['This Agreement shall be in effect until March 18. 2021, unless sooner terminated by either party upon (30) days written notice, without cause.']"
145,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Parties,"['Distributor', 'Company', 'A3 DEVELOPMENT GROUP, LLC', 'SMART RX SYSTEMS, INC.']"
